"","OID","GPS_Lon","GPS_Lat","Lon_UTM","Lat_UTM","date","md","month","year","data_source","hyd_bin","Topo_DEM","dem_source","NOAA_Station","station_lat","station_lon","station_id","Daily_WL","Daily_D","Monthly_HWL","Monthly_HD","Monthly_LWL","Monthly_LD","Monthly_MWL","Monthly_MD","Dist_NearBL","Dist_NearEFB","MeanREI","MeanFetch","medianVH","medianVV","medianVH_VV_ratio","medianNDVI","medianNDWI"
"1",1176,-84.6159659996312,46.0359690029672,220195.409505057,5104403.19586042,"2020-07-16","07-16",7,2020,"GLRI",1,177.309906,"NOAA_USACE","Little Rapids",46.4858,-84.3017,9076033,177.569,0.259093999999976,177.699,0.389094,177.391,0.081093999999979,177.553,0.243093999999985,4335.24737396425,2824.52785345826,0,0,-17.3266528494918,-9.65142918552619,1.69183844040172,0.344288796186447,-0.350416392087936
"2",208,-84.046224999584,46.1210859963217,264643.021464916,5112012.99145373,"2018-09-04","09-04",9,2018,"GLRI",1,176.5006866,"NOAA_USACE","De Tour Village",45.9925,-83.8982,9075099,176.948,0.447313400000013,177.038,0.537313400000016,176.647,0.146313399999997,176.899,0.398313400000006,3772.92605136056,51.7694074585322,7987.611328125,1860.08471679688,-17.1386478919035,-8.42147661488106,2.0259888183987,0.616746068000793,-0.535958886146545
"3",222,-84.0382000000299,46.1254890033149,265281.741435711,5112478.42847901,"2018-09-04","09-04",9,2018,"GLRI",1,176.5572052,"NOAA_USACE","De Tour Village",45.9925,-83.8982,9075099,176.948,0.390794800000009,177.038,0.480794800000012,176.647,0.089794799999993,176.899,0.341794800000002,4507.68010813046,21.6919543126902,5772.41845703125,1342.06066894531,-18.3069424713307,-9.64396860077709,1.96466091260972,0.570167303085327,-0.456651568412781
"4",1252,-84.0382800001218,46.1256760038445,265276.356138602,5112499.44131929,"2018-09-04","09-04",9,2018,"GLRI",1,176.7896729,"NOAA_USACE","De Tour Village",45.9925,-83.8982,9075099,176.948,0.158327100000008,177.038,0.248327100000012,176.647,-0.142672900000008,176.899,0.109327100000002,4522.05043470893,21.6919543126902,5804.73,1353.039,-18.1231625880318,-8.99728665629906,1.96220377226051,0.649403870105743,-0.520627856254578
"5",1165,-83.9752680000182,46.0179699985166,269696.264987733,5100348.68587497,"2020-08-03","08-03",8,2020,"GLRI",1,177.4214478,"NOAA_USACE","De Tour Village",45.9925,-83.8982,9075099,177.379,-0.042447800000019,177.451,0.029552199999984,177.231,-0.190447800000015,177.376,-0.045447800000005,5079.20317612674,7.0511097990051,0,0,-14.9882260090129,-8.90206483657077,1.67171285783399,0.339104920625687,-0.375892400741577
"6",1166,-83.9753179996259,46.0180229964642,269692.615053367,5100354.71879537,"2020-08-03","08-03",8,2020,"GLRI",1,177.2482452,"NOAA_USACE","De Tour Village",45.9925,-83.8982,9075099,177.379,0.130754799999977,177.451,0.20275479999998,177.231,-0.017245200000019,177.376,0.127754799999991,5082.56574588175,7.0511097990051,0,0,-16.3400039082598,-9.48948427303504,1.71681198931847,0.199107781052589,-0.230925604701042
"7",1509,-84.1942710000066,46.4258560016532,254570.785084198,5146323.78607489,"2021-08-31","08-31",8,2021,"GLRI",1,177.2769623,"NOAA_USACE","Mackinaw City",45.7772,-84.7211,9075080,176.952,-0.32496230000001,177.227,-0.049962300000004,176.889,-0.387962299999998,176.996,-0.280962299999999,6124.557514388,20839.7010401108,0,0,-15.1955726815282,-9.951828639117,1.59862999921252,0.559898018836975,-0.510047852993011
"8",677,-84.2442299998146,46.2136870011543,249766.080134827,5122907.15464378,"2015-07-31","07-31",7,2015,"GLRI",1,176.7575226,"NOAA_USACE","Rock Cut",46.2648,-84.1912,9076024,176.71,-0.047522599999979,176.827,0.069477400000011,176.566,-0.191522599999985,176.72,-0.037522599999988,2821.56517112941,0,5095.9228515625,1201.69982910156,-15.9914027397543,-4.38187272808414,3.62381234576531,NA,NA
"9",678,-84.2442299998146,46.2136870011543,249766.080134827,5122907.15464378,"2015-07-31","07-31",7,2015,"GLRI",1,176.7575226,"NOAA_USACE","Rock Cut",46.2648,-84.1912,9076024,176.71,-0.047522599999979,176.827,0.069477400000011,176.566,-0.191522599999985,176.72,-0.037522599999988,2821.56517112941,0,5095.9228515625,1201.69982910156,-15.9914027397543,-4.38187272808414,3.62381234576531,NA,NA
"10",679,-84.2442629995377,46.2137470021225,249763.807710919,5122913.92512213,"2015-07-31","07-31",7,2015,"GLRI",1,176.7225342,"NOAA_USACE","Rock Cut",46.2648,-84.1912,9076024,176.71,-0.012534200000005,176.827,0.104465799999986,176.566,-0.15653420000001,176.72,-0.002534200000014,2818.81289793053,0,5155.81298828125,1210.3583984375,-18.1596424713794,-4.45551381119917,4.04761254817697,NA,NA
